Date_ID,Order_date,Year,Month,Day
393,2022-06-29,2022,6,29
394,2022-11-03,2022,11,3
395,2023-11-28,2023,11,28
396,2020-04-25,2020,4,25
397,2022-03-23,2022,3,23
398,2020-06-24,2020,6,24
399,2024-11-24,2024,11,24
400,2020-11-06,2020,11,6
401,2023-10-24,2023,10,24
402,2023-07-18,2023,7,18
403,2022-10-22,2022,10,22
404,2023-07-17,2023,7,17
405,2025-02-24,2025,2,24
406,2021-03-07,2021,3,7
407,2023-10-25,2023,10,25
408,2023-04-02,2023,4,2
409,2024-10-21,2024,10,21
410,2021-07-09,2021,7,9
411,2022-04-08,2022,4,8
412,2022-04-30,2022,4,30
413,2023-01-20,2023,1,20
414,2024-11-17,2024,11,17
415,2022-04-23,2022,4,23
416,2025-02-18,2025,2,18
417,2021-05-27,2021,5,27
418,2022-01-17,2022,1,17
419,2025-01-15,2025,1,15
420,2021-02-14,2021,2,14
421,2024-08-31,2024,8,31
422,2022-12-26,2022,12,26
423,2024-03-21,2024,3,21
424,2022-07-17,2022,7,17
425,2024-12-05,2024,12,5
426,2023-11-02,2023,11,2
427,2022-11-13,2022,11,13
428,2022-12-28,2022,12,28
429,2025-02-26,2025,2,26
430,2022-11-12,2022,11,12
431,2021-06-07,2021,6,7
432,2024-04-10,2024,4,10
433,2023-12-21,2023,12,21
434,2024-11-21,2024,11,21
435,2022-03-17,2022,3,17
436,2023-05-14,2023,5,14
437,2024-10-07,2024,10,7
438,2020-09-08,2020,9,8
439,2021-08-19,2021,8,19
440,2020-05-23,2020,5,23
441,2020-04-18,2020,4,18
442,2022-06-04,2022,6,4
443,2022-11-16,2022,11,16
444,2020-08-10,2020,8,10
445,2024-06-22,2024,6,22
446,2020-07-13,2020,7,13
447,2021-03-13,2021,3,13
448,2023-04-01,2023,4,1
449,2020-11-10,2020,11,10
450,2022-09-03,2022,9,3
451,2020-10-01,2020,10,1
452,2022-05-27,2022,5,27
453,2024-03-10,2024,3,10
454,2022-08-28,2022,8,28
455,2021-04-27,2021,4,27
456,2021-08-21,2021,8,21
457,2021-05-16,2021,5,16
458,2022-02-15,2022,2,15
459,2023-11-30,2023,11,30
460,2023-01-12,2023,1,12
461,2023-05-19,2023,5,19
462,2024-02-19,2024,2,19
463,2021-12-01,2021,12,1
464,2023-01-18,2023,1,18
465,2020-12-23,2020,12,23
466,2021-02-28,2021,2,28
467,2020-04-22,2020,4,22
468,2021-08-13,2021,8,13
469,2023-07-20,2023,7,20
470,2023-03-14,2023,3,14
471,2023-11-07,2023,11,7
472,2024-10-31,2024,10,31
473,2021-10-29,2021,10,29
474,2023-12-27,2023,12,27
475,2023-06-25,2023,6,25
476,2020-09-01,2020,9,1
477,2025-02-01,2025,2,1
478,2023-07-22,2023,7,22
479,2022-02-04,2022,2,4
480,2023-09-27,2023,9,27
481,2025-01-30,2025,1,30
482,2021-03-28,2021,3,28
483,2021-12-25,2021,12,25
484,2024-11-22,2024,11,22
485,2024-10-08,2024,10,8
486,2020-12-16,2020,12,16
487,2025-03-15,2025,3,15
488,2020-09-21,2020,9,21
489,2025-01-11,2025,1,11
490,2021-10-20,2021,10,20
491,2021-10-19,2021,10,19
492,2024-07-07,2024,7,7
493,2023-07-25,2023,7,25
494,2020-04-16,2020,4,16
495,2020-07-04,2020,7,4
496,2023-11-25,2023,11,25
497,2023-07-02,2023,7,2
498,2020-08-24,2020,8,24
499,2022-11-07,2022,11,7
500,2024-03-27,2024,3,27
501,2024-09-01,2024,9,1
502,2022-02-22,2022,2,22
503,2022-02-11,2022,2,11
504,2023-07-05,2023,7,5
505,2020-10-27,2020,10,27
506,2023-01-26,2023,1,26
507,2021-09-06,2021,9,6
508,2024-07-30,2024,7,30
509,2022-03-15,2022,3,15
510,2024-03-15,2024,3,15
511,2022-07-23,2022,7,23
512,2024-09-13,2024,9,13
513,2022-01-25,2022,1,25
514,2021-04-19,2021,4,19
515,2022-06-24,2022,6,24
516,2024-06-08,2024,6,8
517,2022-09-29,2022,9,29
518,2023-05-10,2023,5,10
519,2021-04-12,2021,4,12
520,2023-11-04,2023,11,4
521,2023-09-10,2023,9,10
522,2024-01-05,2024,1,5
523,2024-05-08,2024,5,8
524,2020-09-10,2020,9,10
525,2020-07-12,2020,7,12
526,2023-02-17,2023,2,17
527,2021-07-21,2021,7,21
528,2020-12-31,2020,12,31
529,2023-04-05,2023,4,5
530,2024-12-29,2024,12,29
531,2020-08-11,2020,8,11
532,2024-03-04,2024,3,4
533,2023-07-28,2023,7,28
534,2021-11-27,2021,11,27
535,2020-09-09,2020,9,9
536,2021-06-02,2021,6,2
537,2022-08-22,2022,8,22
538,2021-03-12,2021,3,12
539,2024-06-26,2024,6,26
540,2023-12-08,2023,12,8
541,2024-11-27,2024,11,27
542,2022-01-10,2022,1,10
543,2021-11-01,2021,11,1
544,2023-10-28,2023,10,28
545,2025-03-01,2025,3,1
546,2024-08-01,2024,8,1
547,2023-06-07,2023,6,7
548,2021-01-04,2021,1,4
549,2024-12-14,2024,12,14
550,2022-07-25,2022,7,25
551,2022-05-07,2022,5,7
552,2022-09-12,2022,9,12
553,2023-08-20,2023,8,20
554,2020-12-27,2020,12,27
555,2023-09-04,2023,9,4
556,2022-01-08,2022,1,8
557,2023-06-05,2023,6,5
558,2021-04-01,2021,4,1
559,2024-05-28,2024,5,28
560,2023-03-09,2023,3,9
561,2022-07-28,2022,7,28
562,2021-06-17,2021,6,17
563,2024-02-13,2024,2,13
564,2021-08-06,2021,8,6
565,2022-05-01,2022,5,1
566,2024-03-11,2024,3,11
567,2020-07-06,2020,7,6
568,2020-12-17,2020,12,17
569,2025-02-27,2025,2,27
570,2021-06-05,2021,6,5
571,2022-12-22,2022,12,22
572,2025-01-25,2025,1,25
573,2025-02-14,2025,2,14
574,2023-01-06,2023,1,6
575,2020-10-11,2020,10,11
576,2024-03-12,2024,3,12
577,2022-05-17,2022,5,17
578,2021-08-24,2021,8,24
579,2024-02-21,2024,2,21
580,2022-05-15,2022,5,15
581,2022-07-22,2022,7,22
582,2021-12-13,2021,12,13
583,2021-06-03,2021,6,3
584,2023-02-02,2023,2,2
585,2022-06-05,2022,6,5
586,2020-05-11,2020,5,11
587,2020-11-25,2020,11,25
588,2023-08-12,2023,8,12
589,2024-01-17,2024,1,17
590,2021-11-24,2021,11,24
591,2021-10-06,2021,10,6
592,2022-05-23,2022,5,23
593,2021-02-22,2021,2,22
594,2020-06-07,2020,6,7
595,2024-05-21,2024,5,21
596,2020-08-05,2020,8,5
597,2020-10-15,2020,10,15
598,2021-05-15,2021,5,15
599,2022-01-13,2022,1,13
600,2023-11-18,2023,11,18
601,2022-01-19,2022,1,19
602,2024-08-07,2024,8,7
603,2022-07-26,2022,7,26
604,2024-01-13,2024,1,13
605,2023-04-25,2023,4,25
606,2021-07-05,2021,7,5
607,2024-10-12,2024,10,12
608,2024-02-07,2024,2,7
609,2021-03-05,2021,3,5
610,2021-08-02,2021,8,2
611,2022-08-19,2022,8,19
612,2024-09-19,2024,9,19
613,2020-04-05,2020,4,5
614,2023-03-16,2023,3,16
615,2024-10-15,2024,10,15
616,2022-06-09,2022,6,9
617,2023-04-09,2023,4,9
618,2023-11-24,2023,11,24
619,2023-11-29,2023,11,29
620,2024-05-20,2024,5,20
621,2022-07-13,2022,7,13
622,2020-04-19,2020,4,19
623,2024-11-14,2024,11,14
624,2021-03-21,2021,3,21
625,2023-05-31,2023,5,31
626,2025-01-14,2025,1,14
627,2020-12-24,2020,12,24
628,2021-10-05,2021,10,5
629,2024-12-28,2024,12,28
630,2022-05-14,2022,5,14
631,2023-08-19,2023,8,19
632,2023-07-14,2023,7,14
633,2023-06-22,2023,6,22
634,2021-05-25,2021,5,25
635,2024-04-02,2024,4,2
636,2022-12-03,2022,12,3
637,2021-07-12,2021,7,12
638,2020-03-22,2020,3,22
639,2020-08-09,2020,8,9
640,2022-02-18,2022,2,18
641,2021-06-14,2021,6,14
642,2021-03-01,2021,3,1
643,2023-09-23,2023,9,23
644,2024-07-31,2024,7,31
645,2020-06-02,2020,6,2
646,2022-12-15,2022,12,15
647,2020-08-07,2020,8,7
648,2024-10-26,2024,10,26
